Date,Open,High,Low,Close,Adj Close,Volume,P/N
3/22/2019,119.5,119.589996,117.040001,117.050003,115.837112,33624500,Negative
3/25/2019,116.559998,118.010002,116.32,117.660004,116.440796,27067100,Positive
3/26/2019,118.620003,118.709999,116.849998,117.910004,116.688202,26097700,Negative
3/27/2019,117.879997,118.209999,115.519997,116.769997,115.560013,22733400,Negative
3/28/2019,117.440002,117.580002,116.129997,116.93,115.718361,18334800,Negative
3/29/2019,118.07,118.32,116.959999,117.940002,116.717896,25399800,Negative
4/1/2019,118.949997,119.110001,118.099998,119.019997,117.786697,22789100,Positive
4/2/2019,119.059998,119.480003,118.519997,119.190002,117.954941,18142300,Positive
4/3/2019,119.860001,120.43,119.150002,119.970001,118.726852,22860700,Positive
4/4/2019,120.099998,120.230003,118.379997,119.360001,118.123177,20112800,Negative
4/5/2019,119.389999,120.230003,119.370003,119.889999,118.64769,15826200,Positive
4/8/2019,119.809998,120.019997,118.639999,119.93,118.687271,15116200,Positive
4/9/2019,118.629997,119.540001,118.580002,119.279999,118.043999,17612000,Positive
4/10/2019,119.760002,120.349998,119.540001,120.190002,118.944572,16477200,Positive
4/11/2019,120.540001,120.849998,119.919998,120.330002,119.083122,14209100,Negative
4/12/2019,120.639999,120.980003,120.370003,120.949997,119.696701,19745100,Positive
4/15/2019,120.940002,121.580002,120.57,121.050003,119.79567,15792600,Positive
4/16/2019,121.639999,121.650002,120.099998,120.769997,119.518562,14071800,Negative
4/17/2019,121.239998,121.849998,120.540001,121.769997,120.508202,19300900,Positive
4/18/2019,122.190002,123.519997,121.300003,123.370003,122.091629,27991000,Positive
4/22/2019,122.620003,124,122.57,123.760002,122.477585,15648700,Positive
4/23/2019,124.099998,125.580002,123.830002,125.440002,124.140182,24025500,Positive
4/24/2019,125.790001,125.849998,124.519997,125.010002,123.71463,31257000,Negative
4/25/2019,130.059998,131.369995,128.830002,129.149994,127.811722,38033900,Negative
4/26/2019,129.699997,130.520004,129.020004,129.889999,128.544052,23654900,Positive
4/29/2019,129.899994,130.179993,129.350006,129.770004,128.425308,16324200,Negative
4/30/2019,129.809998,130.699997,129.389999,130.600006,129.246719,24166500,Positive
5/1/2019,130.529999,130.649994,127.699997,127.879997,126.554886,26821700,Negative
5/2/2019,127.980003,128,125.519997,126.209999,124.902199,27350200,Negative
5/3/2019,127.360001,129.429993,127.25,128.899994,127.564301,24911100,Positive
5/6/2019,126.389999,128.559998,126.110001,128.149994,126.822083,24239800,Positive
5/7/2019,126.459999,127.18,124.220001,125.519997,124.219337,36017700,Negative
5/8/2019,125.440002,126.370003,124.75,125.510002,124.20945,28419000,Positive
5/9/2019,124.290001,125.790001,123.57,125.5,124.199554,27235800,Positive
5/10/2019,124.910004,127.93,123.82,127.129997,125.81266,30915100,Positive
5/13/2019,124.110001,125.550003,123.040001,123.349998,122.071831,33944900,Negative
5/14/2019,123.870003,125.879997,123.699997,124.730003,123.437538,25266300,Positive
5/15/2019,124.260002,126.709999,123.699997,126.019997,125.175804,24722700,Positive
5/16/2019,126.75,129.380005,126.459999,128.929993,128.066315,30112200,Positive
5/17/2019,128.309998,130.460007,127.919998,128.070007,127.212082,25770500,Negative
5/20/2019,126.519997,127.589996,125.760002,126.220001,125.374474,23706900,Negative
5/21/2019,127.43,127.529999,126.580002,126.900002,126.049919,15293300,Negative
5/22/2019,126.620003,128.240005,126.519997,127.669998,126.814758,15396500,Positive
5/23/2019,126.199997,126.290001,124.739998,126.18,125.33474,23603800,Negative
5/24/2019,126.910004,127.419998,125.970001,126.239998,125.394333,14123400,Negative
5/28/2019,126.980003,128,126.050003,126.160004,125.31488,23128400,Negative
5/29/2019,125.379997,125.389999,124.040001,124.940002,124.103043,22763100,Negative
5/30/2019,125.260002,125.760002,124.779999,125.730003,124.887756,16829600,Positive
