Date,Open,High,Low,Close,Adj Close,Volume,P/N,Daily_Change,Daily_%_Change,Future_Change
5/11/2018,343.769989,345.420013,341.049988,342.459991,331.570099,2332200,Positive,-1.610016,-0.467932679,2.130005
5/14/2018,344,347.73999,343.890015,344.589996,333.632385,2520300,Negative ,2.130005,0.621971925,-2.470001
5/15/2018,343,343.850006,340.26001,342.119995,331.240936,3009100,Negative ,-2.470001,-0.716794169,-1.149994
5/16/2018,342,343.559998,340.299988,340.970001,330.127502,2230100,Positive,-1.149994,-0.336137617,3.170014
5/17/2018,340.470001,344.769989,340.25,344.140015,333.196686,2483300,Positive,3.170014,0.929704663,7.089996
5/18/2018,345.600006,352.049988,345.190002,351.230011,340.061249,4327700,Negative ,7.089996,2.060206803,12.690002
5/21/2018,358.459991,365,358.450012,363.920013,352.347748,6785400,Negative ,12.690002,3.613017568,-8.900024
5/22/2018,364,364.850006,354.519989,355.019989,343.730743,5389400,Negative ,-8.900024,-2.445598945,4.190002
5/23/2018,352.279999,359.600006,351.619995,359.209991,347.787476,4497500,Positive,4.190002,1.180215799,-0.209991
5/24/2018,358.450012,360.660004,354.369995,359,347.584167,3932100,Negative ,-0.209991,-0.05845912,1.089996
5/25/2018,358.119995,360.600006,357.049988,360.089996,348.639496,2463700,Negative ,1.089996,0.303620056,-7.609985
5/29/2018,357.709991,360.970001,350.660004,352.480011,341.271515,4249600,Negative ,-7.609985,-2.113356407,5.709991
5/30/2018,355.649994,358.920013,354.100006,358.190002,346.799896,2825200,Positive,5.709991,1.619947464,-6.029998
5/31/2018,356.829987,356.829987,351.619995,352.160004,340.9617,4406300,Negative ,-6.029998,-1.683463516,4.559997
6/1/2018,355.790009,358.149994,354.459991,356.720001,345.376678,2657800,Positive,4.559997,1.294865103,4.01001
6/4/2018,358.970001,363.390015,358.850006,360.730011,349.259125,2950300,Positive,4.01001,1.124133771,-0.630005
6/5/2018,360.5,363.369995,358.850006,360.100006,348.64917,2567800,Positive,-0.630005,-0.174647238,11.459992
6/6/2018,362.459991,371.600006,360.98999,371.559998,359.744781,4488400,Positive,11.459992,3.182447045,-3.029999
6/7/2018,372,374.480011,366.049988,368.529999,356.811127,4517800,Negative ,-3.029999,-0.815480411,0.970001
6/8/2018,368.140015,371.420013,365.459991,369.5,357.750244,3292900,Positive,0.970001,0.263208152,1.440002
6/11/2018,371,373.329987,368.799988,370.940002,359.144501,2468500,Positive,1.440002,0.389716373,-0.320007
6/12/2018,371.23999,372.730011,367.98999,370.619995,358.834686,2440400,Positive,-0.320007,-0.086269207,-6.769989
6/13/2018,370.670013,371,363.290009,363.850006,352.279938,3867600,Negative ,-6.769989,-1.826665882,-1.429993
6/14/2018,366.149994,367.640015,358.829987,362.420013,350.895416,4039500,Negative ,-1.429993,-0.393017171,-4.540008
6/15/2018,358.149994,361.660004,353.470001,357.880005,346.499786,9946000,Positive,-4.540008,-1.252692411,-3.140015
6/18/2018,353.190002,357.649994,352.369995,354.73999,343.459595,3363200,Positive,-3.140015,-0.877393248,-13.619995
6/19/2018,347.170013,347.170013,338.570007,341.119995,330.272736,6857300,Positive,-13.619995,-3.839430395,1.570007
6/20/2018,346,346.980011,340.459991,342.690002,331.792786,4540000,Negative ,1.570007,0.460250652,-5.029998
6/21/2018,341.149994,341.149994,336.200012,337.660004,326.92276,4048300,Negative ,-5.029998,-1.467798293,1.25
6/22/2018,340.429993,340.940002,336.600006,338.910004,328.133026,3192000,Negative ,1.25,0.370194866,-7.709992
6/25/2018,332.519989,333.850006,327.600006,331.200012,320.668243,5006200,Negative ,-7.709992,-2.274937862,0.099976
6/26/2018,332.390015,334.399994,330.480011,331.299988,320.765015,3112400,Positive,0.099976,0.030185989,-1.479981
6/27/2018,334.850006,341.420013,329.76001,329.820007,319.332092,4578900,Negative ,-1.479981,-0.446719304,4.829987
6/28/2018,330,337.540009,327.290009,334.649994,324.008484,3348000,Positive,4.829987,1.464431174,0.860016
6/29/2018,337.190002,340,335.359985,335.51001,324.841125,3108500,Negative ,0.860016,0.256989695,0.569977
7/2/2018,330.690002,336.329987,329.320007,336.079987,325.393005,2820700,Positive,0.569977,0.169883754,-3.149994
7/3/2018,338.179993,339.690002,332,332.929993,322.34314,1464400,Negative ,-3.149994,-0.93727509,0.25
7/5/2018,336.149994,337.279999,329.100006,333.179993,322.585205,2427900,Positive,0.25,0.075090862,1.460022
7/6/2018,332.839996,336.100006,330.450012,334.640015,323.99881,2105100,Positive,1.460022,0.438208185,7.279998
7/9/2018,337.5,343.040009,336.51001,341.920013,331.047302,3128700,Positive,7.279998,2.175471454,5.239991
7/10/2018,342.779999,348,342.779999,347.160004,336.120667,3278300,Positive,5.239991,1.532519537,-6.559998
7/11/2018,341.730011,344.390015,339.190002,340.600006,329.769257,3056900,Negative ,-6.559998,-1.889618022,5.429993
7/12/2018,345.279999,346.600006,342.73999,346.029999,335.026581,2030700,Positive,5.429993,1.594243366,4.76001
7/13/2018,347,351.23999,346.200012,350.790009,339.635254,2272300,Positive,4.76001,1.375606165,5.309997
7/16/2018,353.970001,356.339996,352.350006,356.100006,344.776428,2889000,Positive,5.309997,1.513725267,0.779999
7/17/2018,357.609985,359,355.040009,356.880005,345.531586,2730500,Positive,0.779999,0.219039311,3.350006
7/18/2018,359,361.859985,354.26001,360.230011,348.775055,3090100,Positive,3.350006,0.938692545,-4.900024
7/19/2018,357.690002,359.390015,355.26001,355.329987,344.030853,2711700,Negative ,-4.900024,-1.360248688,-0.429993
7/20/2018,353.040009,356.98999,353,354.899994,343.614563,1816700,Negative ,-0.429993,-0.121012303,-1.630005
7/23/2018,355,355,352.390015,353.269989,342.036407,1943700,Positive,-1.630005,-0.459285722,5
7/24/2018,356.75,359.470001,354.640015,358.269989,346.87735,3182000,Negative ,5,1.415348078,-2.349976
7/25/2018,351.519989,356.299988,345.5,355.920013,344.602112,7378100,Positive,-2.349976,-0.655923207,3.399994
7/26/2018,355.380005,360.200012,355.269989,359.320007,347.893982,3191200,Positive,3.399994,0.955269127,1.329987
7/27/2018,361.059998,364.540009,359.470001,360.649994,349.181702,2914700,Negative ,1.329987,0.370139979,-9.589996
7/30/2018,361.98999,362.450012,350.470001,351.059998,339.896667,3080400,Negative ,-9.589996,-2.659086693,5.23999
7/31/2018,354.380005,359.019989,354.059998,356.299988,344.970062,2728400,Positive,5.23999,1.492619504,-3.539978
8/1/2018,354.089996,357.910004,350.5,352.76001,341.542633,2717800,Negative ,-3.539978,-0.993538625,-3.029999
8/2/2018,348.619995,350.730011,346.029999,349.730011,338.608948,2655900,Positive,-3.029999,-0.858940615,-1.290009
8/3/2018,349.5,350.98999,345.670013,348.440002,337.359955,2285200,Positive,-1.290009,-0.368858536,-1.869995
8/6/2018,347.369995,347.369995,343.119995,346.570007,335.549438,3251100,Positive,-1.869995,-0.536676326,4.190003
8/7/2018,348.049988,352.119995,345.5,350.76001,339.606201,2267400,Positive,4.190003,1.20899181,-2.980011
8/8/2018,350.5,351.619995,346.25,347.779999,336.720917,2333600,Positive,-2.980011,-0.849586873,-4.059998
8/9/2018,346.070007,346.839996,343.119995,343.720001,334.434448,2301800,Negative ,-4.059998,-1.167404109,-4.309997
8/10/2018,341,341,336.450012,339.410004,330.240875,2745700,Negative ,-4.309997,-1.253926739,-1.050019
8/13/2018,339.600006,342.149994,337.339996,338.359985,329.219177,1877200,Negative ,-1.050019,-0.309365955,0.78003
8/14/2018,339.119995,340.149994,337.619995,339.140015,329.97818,2017300,Positive,0.78003,0.230532579,-7.380005
8/15/2018,336.570007,337.140015,328.029999,331.76001,322.797546,3798600,Negative ,-7.380005,-2.176093847,14.220001
8/16/2018,339.059998,347.720001,338.299988,345.980011,336.633392,5867900,Positive,14.220001,4.286231183,0.419983
8/17/2018,346,348.5,341.670013,346.399994,337.042023,3069200,Positive,0.419983,0.121389383,4.339996
8/20/2018,348.600006,352.609985,347.100006,350.73999,341.264771,3018200,Positive,4.339996,1.252885703,3.029999
8/21/2018,351,354.450012,349.630005,353.769989,344.212952,2967200,Positive,3.029999,0.86388752,-3.73999
8/22/2018,354.320007,355.869995,349.839996,350.029999,340.574005,2682900,Positive,-3.73999,-1.057181252,-2.549988
8/23/2018,349.149994,350.279999,345.459991,347.480011,338.092865,1833400,Negative ,-2.549988,-0.728505559,1.899994
8/24/2018,348.769989,350.630005,348.100006,349.380005,339.941528,1954100,Positive,1.899994,0.546792316,4.359985
8/27/2018,352.109985,355,351.01001,353.73999,344.183746,2279500,Positive,4.359985,1.247920584,-2.529999
8/28/2018,355,355.679993,350.609985,351.209991,341.722076,2475100,Negative ,-2.529999,-0.715214302,-1.019989
8/29/2018,352.26001,352.350006,349.209991,350.190002,340.729645,1850100,Positive,-1.019989,-0.290421408,-3.290008
8/30/2018,350.350006,350.950012,345.75,346.899994,337.528534,3257700,Negative ,-3.290008,-0.93949227,-4.109985
